"File","Loc","Percent","Match","TextAround"
"Con Law I formatted exam.docx","3229","26.11%","raci","t violent crimes that appeared to be motivated by racism, sexism, or homophobia but were not prosecuted "
"Con Law I formatted exam.docx","4055","32.79%","raci","tim of any act of violence primarily motivated by racism, sexism, homophobia or transphobia.A bill that"
,,,"",
"Con Law II 2024 Exam Revised.docx","-1","0.00%","NO HITS","NO HITS FOUND in file Con Law II 2024 Exam Revised.docx"
,,,"",
"CUTTINO_CONTRACTS_SPRING24_FINALEXAM (clean).docx","26321","87.37%","death"," on the big things? That cowboy hat is probably a death trap anyway.? NRG?s owners insisted ?The cowboy h"
,,,"",
"CUTTINO_CONTRACTS_SPRING24_FINALEXAM (redline).docx","26321","87.37%","death"," on the big things? That cowboy hat is probably a death trap anyway.? NRG?s owners insisted ?The cowboy h"
,,,"",
"CUTTINO_CONTRACTS_SPRING24_FINALEXAM.docx","26287","88.08%","death"," on the big things? That cowboy hat is probably a death trap anyway.? NRG?s owners insisted ?The cowboy h"
,,,"",
"DALY_INTERNATIONALBUSINESSTRANSACTIONS_SPRING2024_EXAM.docx","-1","0.00%","NO HITS","NO HITS FOUND in file DALY_INTERNATIONALBUSINESSTRANSACTIONS_SPRING2024_EXAM.docx"
,,,"",
"De Amicis_International Business Compliance_ Spring_2024_Exam Final.docx","-1","0.00%","NO HITS","NO HITS FOUND in file De Amicis_International Business Compliance_ Spring_2024_Exam Final.docx"
,,,"",
"De Amicis_International Business Transactions_ Spring 2024_ Exam Final.doc","-1","0.00%","NO HITS","NO HITS FOUND in file De Amicis_International Business Transactions_ Spring 2024_ Exam Final.doc"
,,,"",
"DeRosa_Torts_ Spring-2024.docx","4227","32.94%","virus","t and inadequate screening of donors for the Zika virus and that, therefore, the product should not be co"
"DeRosa_Torts_ Spring-2024.docx","5411","42.17%","race"," at his door, jumped up angrily from his desk and raced to the door yelling ?get out, get out, get out!?"
"DeRosa_Torts_ Spring-2024.docx","7544","58.79%","virus"," the mother?s ingestion of drugs or alcohol. Zika virus infection has been determined in various scientif"
"DeRosa_Torts_ Spring-2024.docx","7720","60.16%","virus","ts of Emma and Mark did not find evidence of Zika virus in their systems, but it usually disappears from "
"DeRosa_Torts_ Spring-2024.docx","7939","61.87%","virus"," not malnourished. She never had symptoms of Zika virus, but many with the virus in their system are asym"
"DeRosa_Torts_ Spring-2024.docx","7964","62.06%","virus","ver had symptoms of Zika virus, but many with the virus in their system are asymptomatic. Some children"
"DeRosa_Torts_ Spring-2024.docx","11420","89.00%","raci"," was fired. The chatbot also reported a number of racist and homophobic posts from Sheldon?s Facebook an"
"DeRosa_Torts_ Spring-2024.docx","11915","92.85%","raci"," InnoVista. Sheldon also says he has never posted racist or homophobic material on social media and does"
,,,"",
"DEROSA_TORTS_SPRING2024_FINALEXAM.docx","4227","32.94%","virus","t and inadequate screening of donors for the Zika virus and that, therefore, the product should not be co"
"DEROSA_TORTS_SPRING2024_FINALEXAM.docx","5411","42.17%","race"," at his door, jumped up angrily from his desk and raced to the door yelling ?get out, get out, get out!?"
"DEROSA_TORTS_SPRING2024_FINALEXAM.docx","7544","58.79%","virus"," the mother?s ingestion of drugs or alcohol. Zika virus infection has been determined in various scientif"
"DEROSA_TORTS_SPRING2024_FINALEXAM.docx","7720","60.16%","virus","ts of Emma and Mark did not find evidence of Zika virus in their systems, but it usually disappears from "
"DEROSA_TORTS_SPRING2024_FINALEXAM.docx","7939","61.87%","virus"," not malnourished. She never had symptoms of Zika virus, but many with the virus in their system are asym"
"DEROSA_TORTS_SPRING2024_FINALEXAM.docx","7964","62.06%","virus","ver had symptoms of Zika virus, but many with the virus in their system are asymptomatic. Some children"
"DEROSA_TORTS_SPRING2024_FINALEXAM.docx","11420","89.00%","raci"," was fired. The chatbot also reported a number of racist and homophobic posts from Sheldon?s Facebook an"
"DEROSA_TORTS_SPRING2024_FINALEXAM.docx","11915","92.85%","raci"," InnoVista. Sheldon also says he has never posted racist or homophobic material on social media and does"
,,,"",
"DERR_CORPORATIONS_SPRING2024_FINALEXAM.docx","-1","0.00%","NO HITS","NO HITS FOUND in file DERR_CORPORATIONS_SPRING2024_FINALEXAM.docx"
,,,"",
"DONOHUE_ADVANCED FOREIGN INTELLIGENCE LAW_SPRING_2024_FINALEXAM.docx","4630","7.68%","war"," national security interest in the Ukraine-Russia war. It cites the damage posed by Russian aggression "
"DONOHUE_ADVANCED FOREIGN INTELLIGENCE LAW_SPRING_2024_FINALEXAM.docx","8682","14.40%","death","on X, ?Trying to retake Crimea will cause massive death.? When called the following month to testify befo"
"DONOHUE_ADVANCED FOREIGN INTELLIGENCE LAW_SPRING_2024_FINALEXAM.docx","8900","14.76%","war","here is no way in hell? that Putin could lose the war. Fig. 2When pressed by journalists, Musk did n"
"DONOHUE_ADVANCED FOREIGN INTELLIGENCE LAW_SPRING_2024_FINALEXAM.docx","11923","19.77%","war"," against the group, which the U.S. has accused of war crimes, crimes against humanity and ethnic cleans"
"DONOHUE_ADVANCED FOREIGN INTELLIGENCE LAW_SPRING_2024_FINALEXAM.docx","12373","20.52%","rape","of violence (including killing, maiming, torture, rape), abduction, forced displacement, attacks on scho"
"DONOHUE_ADVANCED FOREIGN INTELLIGENCE LAW_SPRING_2024_FINALEXAM.docx","42562","70.58%","war"," without the consent of the Owner, nor in time of war, but in a manner to be prescribed by law.Amendm"
"DONOHUE_ADVANCED FOREIGN INTELLIGENCE LAW_SPRING_2024_FINALEXAM.docx","46811","77.63%","death","ent shall act as President, as in the case of the death or other constitutional disability of the Preside"
"DONOHUE_ADVANCED FOREIGN INTELLIGENCE LAW_SPRING_2024_FINALEXAM.docx","50488","83.73%","race","y the United States or by any State on account of race, color, or previous condition of servitude.The C"
"DONOHUE_ADVANCED FOREIGN INTELLIGENCE LAW_SPRING_2024_FINALEXAM.docx","53944","89.46%","death","e Congress may by law provide for the case of the death of any of the persons from whom the House of Repr"
"DONOHUE_ADVANCED FOREIGN INTELLIGENCE LAW_SPRING_2024_FINALEXAM.docx","54118","89.75%","death"," have devolved upon them, and for the case of the death of any of the persons from whom the Senate may ch"
"DONOHUE_ADVANCED FOREIGN INTELLIGENCE LAW_SPRING_2024_FINALEXAM.docx","57459","95.29%","death","he removal of the President from office or of his death or resignation, the Vice President shall become P"
,,,"",
"DONOHUE_NATSEC_EMTECH_SPRING2024_FINALEXAM .docx","6442","10.69%","death","s a range of conspiracy theories (e.g., the faked death of JFK Jr.), centering them tenuously around the "
"DONOHUE_NATSEC_EMTECH_SPRING2024_FINALEXAM .docx","42538","70.59%","war"," without the consent of the Owner, nor in time of war, but in a manner to be prescribed by law. Amend"
"DONOHUE_NATSEC_EMTECH_SPRING2024_FINALEXAM .docx","46805","77.67%","death","ent shall act as President, as in the case of the death or other constitutional disability of the Preside"
"DONOHUE_NATSEC_EMTECH_SPRING2024_FINALEXAM .docx","50487","83.78%","race","y the United States or by any State on account of race, color, or previous condition of servitude.The C"
"DONOHUE_NATSEC_EMTECH_SPRING2024_FINALEXAM .docx","53950","89.52%","death","e Congress may by law provide for the case of the death of any of the persons from whom the House of Repr"
"DONOHUE_NATSEC_EMTECH_SPRING2024_FINALEXAM .docx","54124","89.81%","death"," have devolved upon them, and for the case of the death of any of the persons from whom the Senate may ch"
"DONOHUE_NATSEC_EMTECH_SPRING2024_FINALEXAM .docx","57471","95.37%","death","he removal of the President from office or of his death or resignation, the Vice President shall become P"
,,,"",
"EDELMAN_INCOMEANDPUBLICBENEFITS?_SPRING2024_FINALEXAM.docx","-1","0.00%","NO HITS","NO HITS FOUND in file EDELMAN_INCOMEANDPUBLICBENEFITS?_SPRING2024_FINALEXAM.docx"
,,,"",
"EDELMAN_INTRODUCTIONTOTORTS_SPRING2024_FINALEXAM.docx","-1","0.00%","NO HITS","NO HITS FOUND in file EDELMAN_INTRODUCTIONTOTORTS_SPRING2024_FINALEXAM.docx"
,,,"",
"Ernst_Property_Spring 2024_Final Exam.docx","10594","60.92%","pandemic","he barely remained financially solvent during the pandemic, and now the West Carolina agency regulating fami"
,,,"",
"Exam.docx","3822","49.57%","police","t should the state appellate court reach?2.	The police believe that a suspect is guilty of a series of a"
"Exam.docx","4196","54.42%","police","press the evidence.  What result and why? 3.	 A police officer asks a hotel clerk for a key to the suspe"
,,,"",
"Examination in Evidence Final spring to be submitted to the Registrar .docx","9113","45.42%","gun"," so Miller could urinate. Moments later, a masked gunman fired multiple shots from a Ruger 9mm firearm "
,,,"",
"FACULTY DAVIDSON_International Law, the Global Arms Trade and Human Rights_SPRING 2024_FINALEXAM.docx","-1","0.00%","NO HITS","NO HITS FOUND in file FACULTY DAVIDSON_International Law, the Global Arms Trade and Human Rights_SPRING 2024_FINALEXAM.docx"
,,,"",
"FELDMAN_TORTS_SPRING2024_FINALEXAM.docx","-1","0.00%","NO HITS","NO HITS FOUND in file FELDMAN_TORTS_SPRING2024_FINALEXAM.docx"
,,,"",
"Finkelstein_Taxation of Partnerships_Spring 2024_Final Exam.docx","-1","0.00%","NO HITS","NO HITS FOUND in file Finkelstein_Taxation of Partnerships_Spring 2024_Final Exam.docx"
,,,"",
"FISCHER-TORRES-ROSENBERG_LAWGJ 3014-09 - ICSID Arbitration_Spring2024.docx","-1","0.00%","NO HITS","NO HITS FOUND in file FISCHER-TORRES-ROSENBERG_LAWGJ 3014-09 - ICSID Arbitration_Spring2024.docx"
,,,"",
"FLAX_CORPORATE FINANCE_SPRING2024_FINAL EXAM.docx","6974","38.26%","pandemic","n demand for US manufactured furniture during the pandemic.  Still, the company?s future is far from assured"
"FLAX_CORPORATE FINANCE_SPRING2024_FINAL EXAM.docx","9828","53.91%","race","e that the transaction must close quickly, so the race to close begins.[30 Points] In this first part"
,,,"",
"GARCI?A_PROPERTY_SPRING 2024_FINALEXAM.docx","3856","14.20%","race"," a dispute over the ownership of Redacre?(A) 	A race jurisdiction. (B) 	A notice jurisdiction. (C)"
"GARCI?A_PROPERTY_SPRING 2024_FINALEXAM.docx","3914","14.42%","race","isdiction. (B) 	A notice jurisdiction. (C) 	A race-notice jurisdiction.  (D) 	Both (A) & (C).(E)"
"GARCI?A_PROPERTY_SPRING 2024_FINALEXAM.docx","11696","43.08%","death"," life, remainder to my brother Paul.? Upon Lucy?s death, and assuming everyone else is alive, which of th"
"GARCI?A_PROPERTY_SPRING 2024_FINALEXAM.docx","16044","59.09%","death","ssion.  (E) 	None of the above.Following the death of his husband, Andre sought to drown his sorrows"
"GARCI?A_PROPERTY_SPRING 2024_FINALEXAM.docx","16361","60.26%","police","en Lionel and his assistant, Becky, arrive at the police station, Lionel gives the money to Becky and asks"
"GARCI?A_PROPERTY_SPRING 2024_FINALEXAM.docx","18547","68.31%","pandemic","ve justify defeat of a larceny charge.When the pandemic closed down his personal training business, Larry"
"GARCI?A_PROPERTY_SPRING 2024_FINALEXAM.docx","25226","92.91%","death","the home to the Ocean Conservation Society on her deathbed only days earlier. Unfortunately, the Ocean Co"
"GARCI?A_PROPERTY_SPRING 2024_FINALEXAM.docx","26474","97.50%","raci","Witt at Marymount University has been researching racially restrictive covenants in subdivisions through"
"GARCI?A_PROPERTY_SPRING 2024_FINALEXAM.docx","26655","98.17%","race"," ?this property may not be conveyed except to the race for which it is intended??and not so subtle:/"
"GARCI?A_PROPERTY_SPRING 2024_FINALEXAM.docx","26878","98.99%","raci","e for amendment of their deeds in order to remove racially restrictive language. ( The mayor has engag"
,,,"",
"GEARHART-SERNA SULLIVAN_INTERNATIONALLAW_SPRING2024_FINALEXAM.docx","5489","31.19%","police","er a lengthy chase, were apprehended by the local police with the treasures safely returned.  This re-crea"
"GEARHART-SERNA SULLIVAN_INTERNATIONALLAW_SPRING2024_FINALEXAM.docx","5564","31.62%","police"," safely returned.  This re-creation involved real police from the modern Pozzo police force, and citizens "
"GEARHART-SERNA SULLIVAN_INTERNATIONALLAW_SPRING2024_FINALEXAM.docx","5593","31.78%","police","eation involved real police from the modern Pozzo police force, and citizens chosen to play the thieves wh"
"GEARHART-SERNA SULLIVAN_INTERNATIONALLAW_SPRING2024_FINALEXAM.docx","5760","32.73%","police","iving the ?thieves? a five-minute head-start, the police tried to catch them.  The intention was that both"
"GEARHART-SERNA SULLIVAN_INTERNATIONALLAW_SPRING2024_FINALEXAM.docx","5993","34.06%","police","? stole a car and drove away.  A group of chasing policemen decided, with no orders or instructions, to ge"
"GEARHART-SERNA SULLIVAN_INTERNATIONALLAW_SPRING2024_FINALEXAM.docx","6058","34.42%","police","ed, with no orders or instructions, to get into a police car and drive after them.  The ?thieves? ? now tr"
"GEARHART-SERNA SULLIVAN_INTERNATIONALLAW_SPRING2024_FINALEXAM.docx","6255","35.54%","police","? polite but repeated orders to stop.  The car of policemen followed them into Felix, also without permiss"
"GEARHART-SERNA SULLIVAN_INTERNATIONALLAW_SPRING2024_FINALEXAM.docx","6373","36.21%","police","ix and ignoring Felix?s border guards.  The Pozzo police chased the thieves through Felix in a loop for tw"
"GEARHART-SERNA SULLIVAN_INTERNATIONALLAW_SPRING2024_FINALEXAM.docx","6491","36.88%","police",", with their sirens blaring the entire time.  The police shot their service firearms into the sky several "
"GEARHART-SERNA SULLIVAN_INTERNATIONALLAW_SPRING2024_FINALEXAM.docx","6770","38.47%","police","ssing, the thieves? car broke down, and the Pozzo police caught them.  My friend, the mayor of Pozzo, poin"
"GEARHART-SERNA SULLIVAN_INTERNATIONALLAW_SPRING2024_FINALEXAM.docx","8427","47.89%","police","assador from Felix further claimed to me that the police officers from Pozzo violated a variety of crimina"
"GEARHART-SERNA SULLIVAN_INTERNATIONALLAW_SPRING2024_FINALEXAM.docx","8863","50.36%","police","ar for use in a criminal prosecution of the Pozzo police officers before Felix?s national courts, seeking "
"GEARHART-SERNA SULLIVAN_INTERNATIONALLAW_SPRING2024_FINALEXAM.docx","9073","51.56%","police","would request that Oscar provisionally arrest the police officers under our extradition treaty, while Feli"
"GEARHART-SERNA SULLIVAN_INTERNATIONALLAW_SPRING2024_FINALEXAM.docx","9232","52.46%","police","tion requests for them.  She hoped that the Pozzo police officers would quickly be found guilty in Felix?s"
"GEARHART-SERNA SULLIVAN_INTERNATIONALLAW_SPRING2024_FINALEXAM.docx","9447","53.68%","police","ountry?s officials for this alleged ?crime??  The police officers from Pozzo were just doing their job ? c"
"GEARHART-SERNA SULLIVAN_INTERNATIONALLAW_SPRING2024_FINALEXAM.docx","9738","55.34%","police"," Would we have to turn over the ?evidence? or the police officers?  Could one of the police officers be ar"
"GEARHART-SERNA SULLIVAN_INTERNATIONALLAW_SPRING2024_FINALEXAM.docx","9773","55.53%","police","idence? or the police officers?  Could one of the police officers be arrested if he or she happens to visi"
"GEARHART-SERNA SULLIVAN_INTERNATIONALLAW_SPRING2024_FINALEXAM.docx","12114","68.84%","police","f that group are being rounded up by the national police and sent to detention camps, with their children "
,,,"",
"GELPERN CONTRACTS SPRING2024 FINALEXAM 6 HOURS.docx","-1","0.00%","NO HITS","NO HITS FOUND in file GELPERN CONTRACTS SPRING2024 FINALEXAM 6 HOURS.docx"
,,,"",
"GELPERN CONTRACTS SPRING2024 FINALEXAM CLEAN.docx","-1","0.00%","NO HITS","NO HITS FOUND in file GELPERN CONTRACTS SPRING2024 FINALEXAM CLEAN.docx"
,,,"",
"GELPERN CONTRACTS SPRING2024 FINALEXAM.docx","-1","0.00%","NO HITS","NO HITS FOUND in file GELPERN CONTRACTS SPRING2024 FINALEXAM.docx"
,,,"",
"Georgetown - Spring 2024 Exam - Answer Key.docx","-1","0.00%","NO HITS","NO HITS FOUND in file Georgetown - Spring 2024 Exam - Answer Key.docx"
,,,"",
"Georgetown Law (2024) Final Exam.docx","-1","0.00%","NO HITS","NO HITS FOUND in file Georgetown Law (2024) Final Exam.docx"
,,,"",
"georgetownexam2024.docx","-1","0.00%","NO HITS","NO HITS FOUND in file georgetownexam2024.docx"
,,,"",
"Goodwin, Thirteenth Amendment Exam.docx","-1","0.00%","NO HITS","NO HITS FOUND in file Goodwin, Thirteenth Amendment Exam.docx"
,,,"",
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","4447","30.14%","police","s present at the beating, Virginia Oaks, told the police that the assailant was her boyfriend Jim Jeffreys"
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","4550","30.84%","police","eys.  Jeffreys had left the scene by the time the police arrived, and he went into hiding.  As the beating"
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","8987","60.91%","police"," The victim was her husband, Jay Simms, who was a police officer.The statute in that state prescribes the"
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","9101","61.68%","death","e for first-degree murder as life imprisonment or death.  A separate statute provides that a death senten"
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","9144","61.97%","death","ent or death.  A separate statute provides that a death sentence requires a jury finding of an aggravatin"
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","9286","62.93%","death","that the jury shall make a recommendation whether death is appropriate, but the ultimate determination is"
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","9484","64.28%","police","ry found one aggravating factor: the victim was a police officer.  But it unanimously recommended life imp"
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","9765","66.18%","death"," recommendation, the judge sentenced Sue Simms to death, declaring: ?She?s a cop-killer.  She deserves to"
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","9944","67.39%","death","ute allowing the judge to sentence a defendant to death in the face of a unanimous jury verdict to the co"
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","10063","68.20%","death","d the Eighth Amendment, as in these circumstances death was a cruel and unusual punishment.  The trial ju"
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","10631","72.05%","death"," Amendment for a judge to sentence a defendant to death when a unanimous jury recommended life imprisonme"
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","10795","73.16%","death","g that in light of the Supreme Court?s ruling the death sentence in Simms? case must be overturned, but t"
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","11147","75.55%","death"," in which Simms was convicted, asserting that the death sentence should be set aside in light of the rece"
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","11476","77.78%","death","fendant?s plight, and that she will set aside the death penalty if she has the authority to do so.  She a"
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","12018","81.45%","rape","is aware that a cleaning lady in his building was raped, but she has never met him and has mistakenly id"
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","12634","85.63%","police"," and asks where it is.  The ADA responds that the police lab ?screwed up? and destroyed the DNA before it "
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","12990","88.04%","rape"," plead to a Class 4 battery charge, I?ll drop the rape charge and recommend that the judge impose no jai"
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","13780","93.39%","rape","meanor because I can?t risk being found guilty of rape.?  The judge then asks the ADA what evidence ther"
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","13906","94.25%","rape","ea, and the ADA says ?Judge, the victim claims he raped her, so a fortiori there?s evidence of inappropr"
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","14178","96.09%","rape",", and that someone else has been charged with the rape Engel was accused of.  He makes inquiry and learn"
"GOTTESMAN_CRIMINAL JUSTICE II_SORING 2024_FINAL EXAM.docx","14420","97.73%","police","A was destroyed.  Rather, it had been sent to the police lab for testing, and two days after Engel pleaded"
,,,"",
"GRINBERG_FEDERALINCOMETAX_SPRING2024_FINALEXAM.docx","18536","66.24%","death"," whole life insurance contract for $250,000.  The death benefit is $1 million.  At the time of purchase, "
"GRINBERG_FEDERALINCOMETAX_SPRING2024_FINALEXAM.docx","19447","69.49%","death","ies to capital gain at the time of Individual B?s death.  		D) There is no definitive answer to this que"
,,,"",
"GULC SALT Exam 2024 Final (MC4wMjk1ODMwMA).docx","-1","0.00%","NO HITS","NO HITS FOUND in file GULC SALT Exam 2024 Final (MC4wMjk1ODMwMA).docx"
,,,"",
"GULC SALT Exam 2024 Final.docx","-1","0.00%","NO HITS","NO HITS FOUND in file GULC SALT Exam 2024 Final.docx"
,,,"",
"Gunja_Evidence_Spring2024_FinalExam.docx","7972","35.29%","police","ulance and it arrived with both a paramedic and a police officer. Paramedic Alexandra Acosta asked James w"
"Gunja_Evidence_Spring2024_FinalExam.docx","9307","41.20%","police","gin the investigation, Campbell parked his marked police car outside the Mastroni home to watch the reside"
"Gunja_Evidence_Spring2024_FinalExam.docx","11218","49.66%","police","owing marijuana and that there was enough for the police department to get a search warrant to search the "
"Gunja_Evidence_Spring2024_FinalExam.docx","12418","54.97%","police","esidence with a bottle of gasoline.  Based on his police experience, Campbell immediately suspected arson "
"Gunja_Evidence_Spring2024_FinalExam.docx","16333","72.31%","police","th Dreyer and once the Mastronis learned that the police suspected them of this crime, the Mastronis set f"
,,,"",
"Hasnas Exam 24.docx","-1","0.00%","NO HITS","NO HITS FOUND in file Hasnas Exam 24.docx"
,,,"",
"HAWKINS_TAXATIONOFENERGYMARKETS_SPRING2024_FINALEXAM.docx","18700","65.55%","covid","us problems, including unforeseen weather events, covid related supply chain issues, and permitting delay"
,,,"",
"HILLMAN_TRADE REMEDIES AND THE WTO_SPRING2024_FINAL EXAM.docx","-1","0.00%","NO HITS","NO HITS FOUND in file HILLMAN_TRADE REMEDIES AND THE WTO_SPRING2024_FINAL EXAM.docx"
,,,"",
"HORAN_GOVERNMENT CONTRACTS_SPRING2024_FINALEXAM.docx","-1","0.00%","NO HITS","NO HITS FOUND in file HORAN_GOVERNMENT CONTRACTS_SPRING2024_FINALEXAM.docx"
,,,"",
"HOUSE_WTO-AGREEMENTSNEGODISPUTES_SPRING2024_FINALEXAM.docx","-1","0.00%","NO HITS","NO HITS FOUND in file HOUSE_WTO-AGREEMENTSNEGODISPUTES_SPRING2024_FINALEXAM.docx"
,,,"",
"HOWARD & RASH_STRUCTURING PRIVATE EQUITY FUNDS & TRANSACTIONS_SPRING 2024_FINALEXAM.DOCX","-1","0.00%","NO HITS","NO HITS FOUND in file HOWARD & RASH_STRUCTURING PRIVATE EQUITY FUNDS & TRANSACTIONS_SPRING 2024_FINALEXAM.DOCX"
,,,"",
"IncomeTaxAccounting_ProfCarlton.Myers_Spring 2024 Georgetown_Final Exam 4.19.2024 (MC4yMDc0MzAwMA).docx","-1","0.00%","NO HITS","NO HITS FOUND in file IncomeTaxAccounting_ProfCarlton.Myers_Spring 2024 Georgetown_Final Exam 4.19.2024 (MC4yMDc0MzAwMA).docx"
,,,"",
"JENNEY_INTERNATIONAL PROJECT FINANCE_SPRING2024_FINALEXAM.docx","-1","0.00%","NO HITS","NO HITS FOUND in file JENNEY_INTERNATIONAL PROJECT FINANCE_SPRING2024_FINALEXAM.docx"
,,,"",
"JIA_COMPARATIVE LAW-CHINA IN CONTEXT_SPRING2024_FINAL EXAM.docx","-1","0.00%","NO HITS","NO HITS FOUND in file JIA_COMPARATIVE LAW-CHINA IN CONTEXT_SPRING2024_FINAL EXAM.docx"
,,,"",
"Julie O'Sullivan-Federal White Collar Crime-Spring 2024-final exam.docx","-1","0.00%","NO HITS","NO HITS FOUND in file Julie O'Sullivan-Federal White Collar Crime-Spring 2024-final exam.docx"
,,,"",
"Julie OSullivan--criminal justice-spring 2024-final exam.docx","3581","30.75%","police","ng of January 8, 2023, at about 8:30 pm, ten D.C. police officers were conducting surveillance on a Motel "
"Julie OSullivan--criminal justice-spring 2024-final exam.docx","3724","31.98%","police","notorious for being a locus of drug activity. The police saw a car parked in front of the motel and learne"
"Julie OSullivan--criminal justice-spring 2024-final exam.docx","3857","33.12%","police"," the car was registered to Draco Malfoy (DM). The police watched as two men got into the car and drove off"
"Julie OSullivan--criminal justice-spring 2024-final exam.docx","6363","54.65%","gun","lawyer.? DM was brought to his presentment on the gun charge at about 6:30 am. In the presentment heari"
"Julie OSullivan--criminal justice-spring 2024-final exam.docx","6534","56.11%","gun","that there was probable cause to arrest DM on the gun charge. He advised DM of his rights, set bail, an"
"Julie OSullivan--criminal justice-spring 2024-final exam.docx","7307","62.75%","gun"," and it reeked of marijuana?but she did not see a gun. (Note that while it is legal to smoke marijuana "
"Julie OSullivan--criminal justice-spring 2024-final exam.docx","7730","66.39%","police","y served as a confidential informant (CI) for the police leave room 12, get into his car, and drive away. "
"Julie OSullivan--criminal justice-spring 2024-final exam.docx","7899","67.84%","police"," officers banged on the door of room 12 shouting ?police, open up.? When they heard scrambling inside, the"
"Julie OSullivan--criminal justice-spring 2024-final exam.docx","8608","73.93%","police","oke out of the room. The officers called into the police station and asked for a judge?s number so they co"
"Julie OSullivan--criminal justice-spring 2024-final exam.docx","9331","80.14%","police","noon on January 9, Hill and three other uniformed police officers went to DM?s home and asked to speak to "
"Julie OSullivan--criminal justice-spring 2024-final exam.docx","9483","81.44%","police","mber DM?s wife had hired; the plumber invited the police to come in. At that point, DM, exhausted after hi"
"Julie OSullivan--criminal justice-spring 2024-final exam.docx","10247","88.00%","gun"," With kids in the house?? (By ?piece,? Hill meant gun.) DM replied, ?there?s a shotgun in the closet bu"
,,,"",
"KAHN & WHITESELL_COMMUNICATIONS LAW AND POLICY_SPRING2024_FINALEXAM.docx","-1","0.00%","NO HITS","NO HITS FOUND in file KAHN & WHITESELL_COMMUNICATIONS LAW AND POLICY_SPRING2024_FINALEXAM.docx"
,,,"",
"KAISERGILSON_PROFESSIONALRESPONSIBLITYLAWINTHEUNITEDSTATES_SPRING2024_FINALEXAM.docx","28907","52.02%","race","cial Conduct in its entirety. Her opponent in the race is James. While campaigning for the position, Mad"
"KAISERGILSON_PROFESSIONALRESPONSIBLITYLAWINTHEUNITEDSTATES_SPRING2024_FINALEXAM.docx","31323","56.37%","death","er no longer has a right to confidentiality after death.Tell the spouse what she learned from her invest"
"KAISERGILSON_PROFESSIONALRESPONSIBLITYLAWINTHEUNITEDSTATES_SPRING2024_FINALEXAM.docx","32105","57.78%","police"," see folks who have been arrested. Lucy tells the police that she?s a lawyer. The police require her to ha"
"KAISERGILSON_PROFESSIONALRESPONSIBLITYLAWINTHEUNITEDSTATES_SPRING2024_FINALEXAM.docx","32137","57.84%","police","d. Lucy tells the police that she?s a lawyer. The police require her to have Ned sign a form saying that s"
"KAISERGILSON_PROFESSIONALRESPONSIBLITYLAWINTHEUNITEDSTATES_SPRING2024_FINALEXAM.docx","35945","64.69%","police","ecuting a murder case. She learns from one of the police officers on the case that someone else has confes"
"KAISERGILSON_PROFESSIONALRESPONSIBLITYLAWINTHEUNITEDSTATES_SPRING2024_FINALEXAM.docx","36199","65.15%","police","t the killing was self-defense. So, she tells the police officer that it doesn?t matter since it isn?t wha"
,,,"",
"Koplow_International Law_Spring 2024_Final Exam.docx","-1","0.00%","NO HITS","NO HITS FOUND in file Koplow_International Law_Spring 2024_Final Exam.docx"
,,,"",
"Krishnakumar_Legislation_Spring2024_FinalExam.docx","-1","0.00%","NO HITS","NO HITS FOUND in file Krishnakumar_Legislation_Spring2024_FinalExam.docx"
,,,"",
"LawofReligion.2024.exam.finaltoRegistrar.docx","7266","21.07%","vaccin","tes, Connecticut has long required students to be vaccinated against a series of communicable diseases?inc"
"LawofReligion.2024.exam.finaltoRegistrar.docx","8133","23.58%","vaccin"," State?s kindergartners received a full course of vaccines against measles, mumps, and rubella (?MMR?).  B"
